# Geographic Knowledge -补充数据
# Format: SUBJECT	PREDICATE	OBJECT

# Capitals
ESPAÑA	CAPITAL	MADRID
FRANCIA	CAPITAL	PARIS
ALEMANIA	CAPITAL	BERLÍN
ITALIA	CAPITAL	ROMA
PORTUGAL	CAPITAL	LISBOA
INGLATERRA	CAPITAL	LONDRES
RUSIA	CAPITAL	MOSCÚ
CHINA	PEKÍN	BEIJING
JAPÓN	TOKIO	TOKIO
MÉJICO	CAPITAL	CIUDAD_DE_MÉXICO
ARGENTINA	CAPITAL	BUENOS_AIRES
BRASIL	CAPITAL	BRASILIA
COLOMBIA	CAPITAL	BOGOTÁ
CHILE	CAPITAL	SANTIAGO
PERÚ	CAPITAL	LIMA
VENEZUELA	CAPITAL	CARACAS
ECUADOR	CAPITAL	QUITO
BOLIVIA	CAPITAL	SUCRE
PARAGUAY	CAPITAL	ASUNCIÓN
URUGUAY	CAPITAL	MONTEVIDEO
CUBA	CAPITAL	LA_HABANA
CANADÁ	CAPITAL	OTTAWA
ESTADOS_UNIDOS	WASHINGTON	D.C.
AUSTRALIA	CAPITAL	CANBERRA
INDIA	CAPITAL	NUEVA_DELHI
EGIPTO	CAPITAL	EL_CAIRO
SUDÁFRICA	CAPITAL	PRETORIA
NIGERIA	CAPITAL	ABUYA
TURQUÍA	CAPITAL	ANKARA
IRÁN	TEHERÁN	TEHERÁN
IRAQ	BAGDAD	BAGDAD
SIRIA	DAMASCO	DAMASCO
ISRAEL	JERUSALÉN	JERUSALÉN
ARABIA_SAUDITA	RIAD	RIAD
EMIRATOS	ABU_DABI	ABU_DABI
COREA_DEL_SUR	SEÚL	SEÚL
FILIPINAS	MANILA	MANILA
INDONESIA	YAKARTA	YAKARTA
TAILANDIA	BANGKOK	BANGKOK
VIETNAM	HANOI	HANOI
MALASIA	KUALA_LUMPUR	KUALA_LUMPUR
SINGAPUR	SINGAPUR	SINGAPUR
NUEVA_ZELANDA	WELLINGTON	WELLINGTON

# Languages
ESPAÑA	IDIOMA	ESPAÑOL
FRANCIA	IDIOMA	FRANCÉS
ALEMANIA	IDIOMA	alemán
ITALIA	IDIOMA	ITALIANO
PORTUGAL	IDIOMA	PORTUGUÉS
INGLATERRA	IDIOMA	INGLÉS
RUSIA	IDIOMA	RUSO
CHINA	IDIOMA	CHINO
JAPÓN	IDIOMA	JAPONÉS
BRASIL	IDIOMA	PORTUGUÉS
ARGENTINA	IDIOMA	ESPAÑOL
MÉJICO	IDIOMA	ESPAÑOL
COLOMBIA	IDIOMA	ESPAÑOL
INDIA	IDIOMA	HINDI
EGIPTO	IDIOMA	ÁRABE
TURQUÍA	IDIOMA	TURCO

# Currencies
ESPAÑA	MONEDA	EURO
FRANCIA	MONEDA	EURO
ALEMANIA	MONEDA	EURO
ITALIA	MONEDA	EURO
PORTUGAL	MONEDA	EURO
INGLATERRA	MONEDA	LIBRA_ESTERLINA
RUSIA	MONEDA	RUBLO
CHINA	MONEDA	YUAN
JAPÓN	MONEDA	YEN
ESTADOS_UNIDOS	MONEDA	DÓLAR
MÉJICO	MONEDA	PESO
ARGENTINA	MONEDA	PESO
BRASIL	MONEDA-REAL
COLOMBIA	MONEDA	PESO
CHILE	MONEDA	PESO
PERÚ	MONEDA	SOL

# Governments
ESPAÑA	GOBIERNO	MONARQUÍA_PARLAMENTARIA
FRANCIA	GOBIERNO	REPÚBLICA
ALEMANIA	GOBIERNO	REPÚBLICA_FEDERAL
ITALIA	GOBIERNO	REPÚBLICA
PORTUGAL	GOBIERNO	REPÚBLICA
INGLATERRA	GOBIERNO	MONARQUÍA_PARLAMENTARIA
RUSIA	GOBIERNO	FEDERACIÓN
ESTADOS_UNIDOS	GOBIERNO	REPÚBLICA_FEDERAL
CHINA	GOBIERNO	REPÚBLICA_POPULAR
JAPÓN	GOBIERNO	MONARQUÍA_PARLAMENTARIA
